# Step; t_SCF; t_Grad; Temp; E_Pot; Delta E; RMS(Grad); Max(Grad); Max(Step)
         1;      2.9;      0.0;           ;     2283.14984610;               ;               ;               ;             
         2;      2.8;      0.0;           ;      -13.12403459;  -2.296274e+03;     10348.8724;    147664.0470;     0.274969
         3;      2.9;      0.0;           ;      -13.22590043;    -0.10186584;     10229.5291;    145907.9123;     0.000940
         4;      2.9;      0.0;           ;      -13.62267384;    -0.39677341;      9767.2510;    139105.8017;     0.003759
         5;      2.9;      0.1;           ;      -15.05150060;    -1.42882676;      8137.7618;    115134.7847;     0.015037
         6;      2.8;      0.0;           ;      -18.87376414;    -3.82226353;      4084.9656;     55579.9185;     0.060150
         7;      2.8;      0.0;           ;      -22.10677399;    -3.23300985;      1227.7450;     13831.6246;     0.164187
         8;      2.8;      0.0;           ;      -22.44957018;    -0.34279619;       989.1717;     10248.9818;     0.023969
         9;      2.9;      0.1;           ;      -23.25960362;    -0.81003344;       529.4047;      5195.9799;     0.095875
        10;      2.9;      0.0;           ;      -23.46307195;    -0.20346833;       449.3126;      4179.8096;     0.047624
        11;      3.0;      0.0;           ;      -23.94238449;    -0.47931254;       351.9740;      3200.0865;     0.076440
        12;      2.9;      0.0;           ;      -24.54798286;    -0.60559837;       237.7251;      1952.8117;     0.152237
        13;      2.9;      0.1;           ;      -25.09012930;    -0.54214645;       133.7582;      1062.5292;     0.202841
        14;      2.8;      0.0;           ;      -25.35544281;    -0.26531350;        95.6985;       551.4603;     0.193239
        15;      3.0;      0.0;           ;      -25.51461476;    -0.15917196;        83.1080;       705.3375;     0.137501
        16;      2.9;      0.0;           ;      -25.62350298;    -0.10888822;        52.2056;       375.2118;     0.092934
        17;      2.9;      0.0;           ;      -25.65895474;    -0.03545176;        65.9789;       431.7237;     0.092034
        18;      2.9;      0.1;           ;      -25.73268092;    -0.07372618;        48.5313;       276.0970;     0.087091
        19;      2.9;      0.0;           ;      -25.75002840;    -0.01734747;        67.4171;       590.4218;     0.067863
        20;      3.0;      0.0;           ;      -25.81972548;    -0.06969708;        43.9209;       328.6576;     0.080582
        21;      2.9;      0.0;           ;      -25.84303928;    -0.02331380;        57.0618;       323.9822;     0.081207
        22;      2.8;      0.1;           ;      -25.89136050;    -0.04832122;        38.8964;       228.1557;     0.076442
        23;      2.8;      0.0;           ;      -25.89563993;    -0.00427943;        48.7818;       335.8324;     0.030820
        24;      3.0;      0.0;           ;      -25.92961665;    -0.03397671;        33.2876;       199.8509;     0.050478
